tid,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
0xX7kREWmOGBWzYNcpZwRN,0.25,0.135,9,-18.615,1,0.0488,0.958,0.0349,0.0477,0.179,94.404,0
54CAG8n70kKVbFV6l1zF4G,0.295,0.408,4,-16.632,0,0.0693,0.804,0.148,0.165,0.164,150.454,0
2nVt0n0aSj3AwZjakMvDHX,0.165,0.106,8,-21.742,1,0.039,0.807,0.782,0.105,0.0336,105.651,0
4wudbbceOZKjRlhTtbHvAs,0.176,0.006,5,-42.238,1,0.0384,0.899,3.24e-05,0.105,0.0383,71.477,0
5xbuJuQsTVheVZvX2AJVIv,0.701,0.341,1,-12.26,0,0.0418,0.499,0.903,0.359,0.163,105.513,0
4QfYHdV8hMoyS9qKUct98q,0.115,0.0422,8,-24.137,1,0.0404,0.966,0.919,0.0896,0.037,87.855,0
1Oo7XEqkrwifJn17aA0ocF,0.299,0.00626,9,-30.923,1,0.0478,0.994,0.901,0.0823,0.0634,69.043,0
3GecLjGMqzjmgkvy2v41Wf,0.341,0.0142,2,-28.293,1,0.0388,0.993,0.921,0.113,0.0384,76.382,0
5Zf5prtvv7KRQ1J6kNn4C6,0.191,0.0363,3,-25.31,1,0.0409,0.991,0.924,0.141,0.0372,69.754,0
4dGkPPLnIdVgogqpyaAjbc,0.322,0.14,4,-20.747,1,0.0489,0.906,0.759,0.125,0.285,92.122,0
3VQ7hwiEfaHDl3AySgyaiR,0.436,0.151,11,-20.745,0,0.0603,0.955,0.793,0.11,0.359,103.777,0
6cC6h5E351deEGFd7Kh9uy,0.465,0.128,9,-17.628,0,0.0519,0.978,0.271,0.0423,0.428,111.471,0
3NbAsIxDL0fVgNuCLD152P,0.37,0.0076,4,-33.663,1,0.0384,0.995,0.91,0.0864,0.278,62.668,0
2TZbQZXOuR8osP2AK8yYMN,0.144,0.132,10,-19.115,1,0.0333,0.946,0.779,0.115,0.0627,102.283,0
4fDodwdZ1LBDL2I2WCnUMY,0.458,0.11,9,-22.234,0,0.0309,0.977,0.903,0.359,0.481,83.43,0
2ceu417OdiSxzR3K7B1n2M,0.224,0.0291,7,-26.167,1,0.0455,0.959,0.845,0.106,0.0538,121.131,0
1MiWGSGDC5mGoP3MNclZ7s,0.101,0.0241,11,-30.172,0,0.0485,0.947,0.847,0.0693,0.0329,87.14,0
0XSRBlP49MgzBCYtGK2NYE,0.223,0.227,0,-17.695,1,0.0343,0.871,0.891,0.063,0.127,103.618,0
72jIJDADnBLJKXV2yxv5N0,0.352,0.235,2,-16.235,1,0.0398,0.894,0.675,0.396,0.329,109.16,0
43bSKCMWHIuBsUVmQcDX1J,0.296,0.00896,7,-31.948,0,0.0394,0.994,0.91,0.0815,0.0673,69.44,0
42gZM6AQ9BDMaTyTmMDVlN,0.142,0.113,2,-25.362,0,0.0415,0.859,0.838,0.107,0.0697,98.575,0
64ZxBE1ZgK4C0lGljXzDcG,0.48,0.163,5,-19.117,0,0.0645,0.81,0.754,0.093,0.212,158.366,0
0w4LgJ5G1Xz5jLS3HX8oyq,0.218,0.117,0,-18.585,1,0.0489,0.94,0.861,0.15,0.0599,77.009,0
5i7bLnNE0R3m1MNUY7UsqT,0.377,0.173,9,-21.377,1,0.0329,0.991,0.909,0.103,0.558,132.187,0
6VDHdry8ytOL2WWbePDxSD,0.116,0.0694,0,-23.624,1,0.0497,0.969,0.644,0.109,0.0377,169.789,0
6kg7bfwsTKzRqnBGGv4VqR,0.193,0.0839,8,-22.849,1,0.0406,0.971,0.822,0.118,0.0569,85.556,0
7uf3aFC1msj0t5cYImgOWy,0.241,0.122,7,-22.411,1,0.0497,0.925,0.66,0.126,0.187,66.325,0
0oIQl9tFpCiKBRavEIIGzo,0.164,0.0194,3,-34.126,1,0.0434,0.938,0.859,0.0939,0.0581,101.708,0
1aTpzY2ggWHhPi8p2f56u1,0.436,0.00518,7,-36.593,1,0.067,0.995,0.932,0.0788,0.275,135.286,0
5DFUsGW4Cmltv8Spd0u1aV,0.0891,0.341,10,-12.681,0,0.046,0.145,0.836,0.111,0.0334,85.231,0
4GnVpbnWjHFrpXjAcPHvqM,0.12,0.138,10,-15.538,1,0.048,0.994,0.686,0.11,0.043,67.894,0
7vJhOBgOkXyEJvw1vsU6HB,0.156,0.0978,5,-16.326,1,0.0371,0.976,0.893,0.0854,0.0638,179.447,0
6HknRM996YMa7VSBFYlnPJ,0.177,0.127,8,-19.167,1,0.0394,0.903,0.901,0.114,0.0612,149.698,0
0mcgXc8P5GyGtP9aY7zir6,0.367,0.316,9,-14.49,0,0.0429,0.927,0.779,0.113,0.242,149.089,0
1dFVnX4mJTnWubAPE8S3OR,0.356,0.152,4,-20.155,1,0.0406,0.981,0.903,0.0807,0.04,132.413,0
5bVlEvO3SadcOyh6rnWW4P,0.339,0.0588,10,-17.647,0,0.0373,0.984,0.862,0.12,0.198,105.916,0
5d6FOGCa0EDqCJSpccEh8s,0.359,0.046,6,-18.725,0,0.0407,0.901,0.118,0.277,0.263,127.653,0
76wXMaJVSr0nSsKsSdwAiu,0.166,0.0363,11,-26.822,1,0.0381,0.978,0.922,0.0882,0.039,84.467,0
7xGcLLeK1de0I71lH28DeM,0.144,0.0868,8,-23.338,1,0.0387,0.891,0.904,0.177,0.0737,94.463,0
5CfxpBCYwfB17MMgARumHl,0.0754,0.0102,4,-35.69,1,0.0464,0.901,0.106,0.0817,0.0331,81.324,0
7dchPojQcmY6eMBFJAo64i,0.463,0.162,7,-24.484,0,0.045,0.963,0.825,0.0943,0.374,125.514,0
5U7T2widXE5MqoQ6dmi3O9,0.357,0.0464,8,-20.868,1,0.0434,0.992,0.859,0.109,0.0417,69.859,0
3QN7ups1LvVMASAe94yEEx,0.253,0.177,7,-19.525,1,0.0346,0.894,0.573,0.668,0.242,89.052,0
68Faz6Nc9UnWuOz1oC2DEv,0.413,0.135,2,-23.277,1,0.0436,0.994,0.902,0.0823,0.0715,145.802,0
1n8NKQRg8LVHy7oUhUgbFF,0.156,0.162,2,-17.101,0,0.036,0.897,0.691,0.111,0.077,73.407,0
0qFZYO72iBOhW7X6KbL44Q,0.339,0.0937,2,-20.267,1,0.0394,0.931,0.293,0.252,0.458,123.048,0
2dEbRirkEtImY7HdYxrgRS,0.0716,0.0408,7,-28.284,1,0.0399,0.851,0.901,0.0844,0.0377,77.047,0
58Q96yWnuBqlKEGd2vGyAg,0.24,0.0648,4,-25.208,0,0.0426,0.935,0.0272,0.258,0.0771,95.286,0
6vS8JCT9WqTFeAuu8smjRF,0.186,0.124,1,-15.271,1,0.0434,0.978,0.865,0.111,0.248,77.903,0
2sTUcyPMXztxu2Y1DuxDZx,0.161,0.0144,6,-30.883,1,0.0365,0.986,0.117,0.0836,0.0336,82.646,0
6zcP5A5Xv6bvCUpwXrswKa,0.203,0.112,11,-18.029,0,0.0418,0.936,0.935,0.126,0.0374,72.483,0
3jLcwFns5S9OYQojN8XAkJ,0.154,0.00261,1,-36.267,1,0.0419,0.89,0.763,0.125,0.0366,83.549,0
3pzBD8BVdrv7VJ7glRYshl,0.364,0.0592,2,-21.757,1,0.057,0.978,0,0.0823,0.185,123.789,0
3uLsZpdHrJsR9AjrrxMI66,0.169,0.0974,3,-21.414,1,0.042,0.864,0.632,0.087,0.0524,170.379,0
7hyq9VKysg8g1L5R0y41dt,0.0921,0.0183,7,-31.858,1,0.0513,0.942,0.94,0.195,0.039,166.979,0
6iRcn4yPiXhcEBEM7OUaNt,0.0982,0.0575,6,-24.448,0,0.0454,0.984,0.904,0.122,0.0392,70.041,0
2m2GJpBjQNNphaCgBeoj7R,0.324,0.0186,2,-28.248,1,0.0476,0.99,0.934,0.105,0.126,85.297,0
2aaziYHebMJ35UZ0TlKE8w,0.202,0.248,10,-17.165,1,0.0474,0.904,0.468,0.129,0.0469,129.282,0
3yeEHZQ3ubZ0hYjbq6VpW7,0.0807,0.0114,0,-20.451,1,0.0461,0.824,0.69,0.1,0.0556,79.737,0
5bhbv1xIbk0SbfQ2MEXe8F,0.222,0.0456,10,-20.891,0,0.0385,0.993,0.964,0.231,0.0881,128.662,0
2WfTVYdHjDvFaaVLGN1wEO,0.388,0.00606,7,-32.454,1,0.0432,0.993,0.947,0.0974,0.251,67.033,0
4ju98rvX917EwXLKLnRbQ2,0.126,0.0159,4,-34.595,1,0.0401,0.976,0.949,0.0863,0.0373,74.02,0
4l5zWNPyET6PqBhxQEyKgt,0.286,0.0028,8,-37.427,1,0.0462,0.995,0.912,0.127,0.123,67.505,0
66EQLGUGxCKXzuLj1Zkt1E,0.192,0.0231,9,-28.434,0,0.0464,0.984,0.558,0.0776,0.04,70.368,0
6t7lMFHSifu9j8NPMNCv9T,0.0891,0.0894,2,-25.653,1,0.042,0.936,0.748,0.416,0.0728,80.828,0
0DG5cVgVt7821x2rAv0ny2,0.38,0.00402,2,-34.344,0,0.0446,0.995,0.899,0.0726,0.0597,128.238,0
6y1FgcqMY76hCk9qLxUuy4,0.141,0.00268,2,-37.571,0,0.0427,0.945,0.601,0.0756,0.0386,140.372,0
4BrX9il0kSbL8xtlHjQbpP,0.206,0.19,8,-15.396,1,0.0384,0.974,0.808,0.131,0.0368,79.811,0
4SsDrt7HV1ECcJ2A7EHfLL,0.213,0.0377,10,-33.06,1,0.0475,0.986,0.869,0.139,0.0973,165.763,0
42LRjYQYJeogQINxQo0BcJ,0.206,0.0127,2,-33.265,1,0.0406,0.957,0.856,0.089,0.165,56.658,0
6XmozAAnvBf2VtLL53AkX0,0.299,0.0264,9,-26.535,0,0.0469,0.995,0.882,0.073,0.235,168.963,0
5D8jilwsJ5DovqzHonxitk,0.23,0.0498,4,-25.462,1,0.0462,0.969,0.269,0.12,0.0693,124.553,0
1tnxups7Vr7wKjwCtzfhT8,0.172,0.014,1,-27.988,1,0.0425,0.981,0.902,0.0735,0.0348,144.414,0
3pQCRKRbApGrjEpj1r4BKA,0.102,0.0842,10,-25.542,1,0.045,0.972,0.796,0.349,0.139,171.882,0
5X5x6oRSCHtHEz28ncMVd5,0.0748,0.0442,0,-19.183,1,0.0426,0.957,0.94,0.116,0.0369,79.092,0
1G3QPQkoXvpChjNUhd6Tfs,0.415,0.026,1,-36.7,1,0.0496,0.995,0.938,0.107,0.268,136.191,0
1AKdBq4wtJKU9DhQpekvtc,0.425,0.0363,1,-21.629,0,0.0686,0.991,0.00109,0.25,0.745,78.991,0
7nGA1sRfLDWXYb3VPstnZf,0.0979,0.0801,8,-19.643,1,0.0458,0.941,0.431,0.115,0.0608,75.314,0
4o7Cql3n8VEsFPk7uVcdYb,0.253,0.00429,7,-36.172,0,0.0523,0.99,0.912,0.103,0.0368,74.497,0
6fgKNrXXH6nvortduBBbaD,0.304,0.00994,9,-30.258,0,0.0353,0.838,0.834,0.103,0.164,69.802,0
3OueD83BFjh2lCyhuEpXVF,0.0967,0.00433,6,-37.71,1,0.0338,0.988,0.307,0.0637,0.0358,76.726,0
752Lx7hhyxDhcigfANv8n8,0.0959,0.00714,5,-36.544,1,0.0427,0.92,0.0281,0.106,0.0532,70.474,0
5SFdpYdc4uDqkQqW7UzSqB,0.389,0.0187,9,-30.859,0,0.0444,0.995,0.903,0.0864,0.294,135.595,0
6pV1dGidc6DvzjKhbMqgDa,0.224,0.116,9,-25.714,1,0.0618,0.986,0.921,0.505,0.0904,75.412,0
2eSVQH8lwcrUBs7dpEj7p7,0.3,0.0405,8,-31.023,1,0.0449,0.992,0.948,0.138,0.233,63.821,0
2fbrAyrmSQzbDaUTWb668R,0.45,0.0031,5,-24.947,1,0.0586,0.994,0.934,0.0787,0.0582,70.53,0
06emSBtL6jcUXcjVlayUHl,0.168,0.00571,8,-36.245,1,0.0404,0.995,0.92,0.068,0.0705,78.043,0
7xUMMOKO7UrqKa7x4XqaKa,0.0754,0.102,5,-24.6,1,0.0483,0.783,0.906,0.0997,0.0359,79.594,0
0ehvSWC15JKhz5us5aOBjL,0.128,0.0194,4,-24.941,1,0.0388,0.99,0.946,0.069,0.09,75.818,0
6JPzlzHHdqIdmu28qBHdGF,0.302,0.00448,6,-31.704,1,0.0463,0.995,0.84,0.045,0.0452,71.056,0
518hKWxnCK1L1fsYRl0OB5,0.186,0.0639,5,-23.374,0,0.0456,0.989,0.917,0.0953,0.0463,102.639,0
7rrDSYbroZhV6aKkbYxiuG,0.404,0.0151,5,-35.799,1,0.0652,0.996,0.916,0.0946,0.282,134.935,0
0WzetzBykY3fl41dEJjoYa,0.337,0.0111,0,-27.273,1,0.0456,0.991,0.958,0.0886,0.148,75.69,0
3zrcDZ9hPNkZuq20pxPb9o,0.152,0.00957,10,-31.787,1,0.039,0.984,0.88,0.0987,0.0742,89.348,0
1jcQ040aWKeiUGJ2IcnFtV,0.349,0.191,0,-16.111,0,0.0463,0.992,0.936,0.132,0.0414,140.422,0
5hJrBqOLUnMXNjDlAX67aP,0.366,0.145,6,-24.892,0,0.0378,0.926,0.483,0.331,0.0749,94.159,0
5T6zZnlmr0Fc1wWCWhUwcy,0.17,0.0223,7,-24.482,1,0.0471,0.865,0.758,0.3,0.1,115.193,0
6v0zFoBkuLjThZCymM9CF3,0.365,0.0893,0,-19.303,1,0.039,0.98,0.91,0.111,0.0961,127.511,0
2EAgTVB2EdsMdqaqOk062L,0.227,0.00482,8,-36.351,1,0.036,0.993,0.912,0.157,0.0731,70.684,0
4a8dR8XKOBOMxUSr8UT58W,0.354,0.0322,2,-27.492,0,0.0435,0.992,0.955,0.104,0.0638,67.872,0
1NechTDnTtSaciAT6gmvJQ,0.238,0.00484,8,-31.76,1,0.0393,0.995,0.95,0.121,0.0394,70.821,0
4bFdyisLdkeS7tmbAWpl13,0.217,0.0282,0,-28.351,0,0.0352,0.991,0.877,0.107,0.167,74.426,0
3C8Xxgad3ejXfJ0RiJq9G1,0.171,0.00926,7,-31.675,0,0.044,0.993,0.946,0.128,0.0399,116.418,0
5WEmDvDiRpE7p3y8SMMAPJ,0.146,0.019,0,-31.365,1,0.0476,0.92,0.878,0.0864,0.0492,81.526,0
0OG8MAiXcyIZd4Ol92zmk7,0.429,0.0234,6,-29.753,1,0.0489,0.995,0.957,0.0962,0.0751,116.163,0
5KIOfWtUEKrxDNi4OnIpg2,0.395,0.0826,5,-18.982,0,0.0432,0.995,0.93,0.126,0.119,93.288,0
0TnTf6JpDE2tQoO83zZfD0,0.314,0.00545,0,-33.332,1,0.0595,0.994,0.945,0.0894,0.443,138.548,0
1XJMRdFSgkrmw2cXLJOD0b,0.46,0.00618,6,-28.121,1,0.0481,0.994,0.89,0.0896,0.086,67.12,0
08MQI93SDisdfNxF3Ae9Tw,0.145,0.0159,6,-27.8,0,0.0447,0.967,0.0188,0.125,0.0462,78.402,0
1oMtwEc8xjDTNarCsMlI8B,0.102,0.0259,8,-30.196,0,0.0444,0.964,0.864,0.0972,0.0319,90.128,0
12KMREUbKErP77HI7Av6Gq,0.0618,0.00804,5,-36.977,1,0.0472,0.753,0.69,0.12,0.0393,55.481,0
6koKpSfGUDeLrHs1hCPL1P,0.0694,0.00525,3,-35.45,1,0.0482,0.972,0.00751,0.0739,0.036,73.566,0
5bu9A6uphPWg39RC3ZKeku,0.454,0.0139,4,-29.966,0,0.0514,0.995,0.943,0.0736,0.244,130.253,0
6tmzIxHREnZzKSDMm6CNNS,0.13,0.00924,6,-27.853,1,0.0448,0.988,0.909,0.0849,0.0369,77.307,0
6NsZucPvDbyARfXLgTpY9u,0.168,0.475,2,-5.732,1,0.0349,0.911,0.929,0.124,0.0523,98.286,0
1juisCcrVdwoLbDWyVvNrX,0.448,0.0052,4,-36.512,1,0.0564,0.995,0.88,0.0698,0.0398,62.171,0
6GDuB7BvASYD9JePYvOEX1,0.203,0.0641,5,-27.51,1,0.0529,0.972,0.94,0.101,0.0978,73.105,0
722VEAitQPDKYkTe3UDlZK,0.138,0.0509,4,-22.513,1,0.0431,0.941,0.926,0.109,0.0372,87.037,0
0kRB0hhG9KYXiokmqZehwn,0.186,0.183,2,-16.074,1,0.0369,0.925,0.821,0.0926,0.0661,86.283,0
4NqknSuLbtn77F73YzNVBf,0.23,0.0592,7,-23.594,1,0.0445,0.989,0.941,0.0906,0.103,89.965,0
2YarjDYjBJuH63dUIh9OWv,0.194,0.0324,5,-28.215,1,0.0382,0.982,0.961,0.0916,0.0596,144.13,0
5776PanLfe9zLJMhDbMBgW,0.198,0.0899,4,-25.087,1,0.0448,0.949,0.924,0.15,0.0711,111.868,0
2fvBJs9DPL4a48x3tmgCWp,0.281,0.0135,2,-25.266,1,0.0453,0.986,0.904,0.367,0.17,103.0,0
1c6PEv6hW9thHOyVsdYyOX,0.145,0.0959,9,-21.955,1,0.0401,0.962,0.807,0.141,0.0587,102.628,0
4a2qoYY6xINDXtUOBFbJ6d,0.122,0.0182,2,-27.89,1,0.0383,0.967,0.834,0.0735,0.0473,77.59,0
67Qy8Hmw1xES1OLZqK7g4z,0.111,0.378,8,-14.899,1,0.0325,0.837,0.94,0.195,0.1,80.064,0
4ck9QU8ka0Q75w0rgXGHhj,0.0637,0.0655,3,-26.729,0,0.0471,0.989,0.96,0.113,0.0259,65.879,0
0PrAozo6AwJ0Ftatr3CfJt,0.484,0.192,2,-15.378,1,0.0465,0.991,0.908,0.106,0.0559,100.084,0
3IRoeiTnEJ31WKMtcXShX1,0.393,0.0071,3,-31.748,1,0.0571,0.995,0.887,0.104,0.252,71.203,0
5TtmI9sfXw4VXco0PE21mV,0.176,0.0534,10,-27.626,1,0.0406,0.97,0.915,0.29,0.0332,71.673,0
6B0ZlLf0p2s1Lwt3ivAXKy,0.398,0.00209,0,-39.959,1,0.0444,0.996,0.955,0.0813,0.0971,71.461,0
5bpuqZGiFbWyEFpHY8vJrZ,0.065,0.0125,5,-33.135,1,0.0467,0.967,0.00112,0.0756,0.0346,67.995,0
5k4Eagqnz3YKdMLjSSi0DD,0.16,0.0261,9,-33.263,0,0.0517,0.917,0.232,0.113,0.0305,88.549,0
36EnMgx9PmtnzUtmKwI63h,0.354,0.116,4,-28.692,0,0.0399,0.987,0.883,0.124,0.181,82.627,0
3tksAPm7RFbwHCaWt7NtDU,0.188,0.0246,10,-24.9,1,0.0371,0.995,0.84,0.0944,0.071,83.968,0
6IihP5ExawBf9ddqN5fO6k,0.374,0.0368,9,-28.556,0,0.0421,0.988,0.908,0.177,0.122,63.895,0
5epdIHbuEtHLzmCGWMw5RK,0.402,0.146,1,-19.768,0,0.0507,0.987,0.928,0.0967,0.0773,74.011,0
3SAhuaew7Hqkf7UdFGUg57,0.503,0.00705,1,-25.179,1,0.0687,0.995,0.939,0.0957,0.209,130.808,0
2WuYYACpbXgn41VaPN3IYs,0.107,0.0329,0,-29.429,1,0.0389,0.962,0.868,0.0932,0.0377,91.64,0
0HrKa62vpS5FmSLuAA2bnp,0.146,0.0405,5,-22.484,0,0.0406,0.988,0.176,0.104,0.0357,72.507,0
4wlNPczIullwvmwb4x0ltz,0.311,0.0253,2,-30.561,1,0.04,0.976,0.897,0.123,0.251,116.816,0
5WpGVggkaT3phJEwrVG3EC,0.116,0.0127,5,-31.623,1,0.0638,0.954,0.95,0.0969,0.0357,65.44,0
44q3YAjsga0wqkf1FgaKWu,0.362,0.00741,10,-31.873,1,0.0418,0.991,0.918,0.0824,0.0412,98.545,0
67t8oxxVA0TB5LrKTY0vtq,0.359,0.0246,8,-28.776,1,0.046,0.983,0.746,0.11,0.0968,111.53,0
3yNHtmi0SbMzzdwVrFg98i,0.0994,0.121,7,-17.763,1,0.0433,0.793,0.827,0.335,0.0378,89.428,0
3FNX30Vi6mtTq9nUUzndLz,0.162,0.0669,5,-21.458,1,0.0448,0.943,0.607,0.131,0.04,81.937,0
5mRrklQD0rvuN6sV10HfPn,0.326,0.0993,7,-22.496,1,0.072,0.988,0.916,0.108,0.417,137.274,0
6FYKa4W0px93kMLCER3xuw,0.214,0.128,2,-19.714,1,0.0458,0.781,0.675,0.122,0.0524,127.208,0
6lcJu30W4lLZDJICLRjzPQ,0.169,0.0612,3,-22.327,1,0.0397,0.846,0.719,0.0976,0.0337,74.525,0
5JTaece4mxAjEa7Utcyvyf,0.329,0.0603,0,-25.464,1,0.0377,0.945,0.428,0.114,0.241,148.342,0
7dvag5fPqXAWiTJNFsxS7X,0.511,0.0612,2,-22.972,1,0.0419,0.932,0.468,0.329,0.183,119.771,0
1pQSjpnF1eTXtni4pTN7Ns,0.197,0.118,7,-18.443,1,0.0441,0.967,0.566,0.0986,0.0654,118.195,0
6X6asQ7JRczBtPQXtMrzsO,0.306,0.0632,4,-25.363,0,0.0363,0.917,0.895,0.105,0.0308,101.071,0
4YBjc5fCZrFzpYYfzKI2Vv,0.406,0.255,4,-13.243,1,0.0331,0.952,0.852,0.11,0.0808,77.739,0
3LDqTboTGSoUTWyiV3Cppk,0.186,0.03,0,-25.858,1,0.0642,0.869,0.56,0.109,0.112,70.037,0
0fup4FUQCwAhEy5oB9MCEP,0.0874,0.0474,4,-23.13,0,0.0532,0.924,0.768,0.149,0.0331,72.393,0
6qBjQgRksJ4RVNgS6hqEgn,0.089,0.195,7,-18.349,1,0.0441,0.393,0.951,0.22,0.0391,86.266,0
3XFzPxjP3KCHVG09I9xVEs,0.264,0.0556,9,-23.917,1,0.0349,0.964,0.91,0.0783,0.0487,99.381,0
2l0DaEeLEcHjUFLu2bh4Cv,0.187,0.163,11,-17.649,0,0.042,0.715,0.902,0.107,0.0347,54.114,0
